Date,Dividends
2013-10-24 09:00:00,1.35
2014-10-24 09:00:00,1.55
2015-10-26 09:00:00,0.5
2016-07-28 09:00:00,0.2125
2017-02-08 09:00:00,0.425
2017-07-31 09:00:00,0.175
2018-01-29 09:00:00,0.55
2018-07-23 09:00:00,0.175
2019-01-22 09:00:00,0.575
2019-07-19 09:00:00,0.175
2020-01-31 09:00:00,0.725
2020-07-21 09:00:00,0.175
2021-01-22 09:00:00,0.7625
2021-07-21 09:00:00,0.0875
2022-01-21 09:00:00,0.8
2022-07-18 09:00:00,0.45
2022-08-02 09:00:00,0.0575
2023-01-30 09:00:00,0.65
2023-07-18 09:00:00,0.475
2024-01-17 09:00:00,0.75
2024-07-16 09:00:00,0.25
2025-01-17 09:00:00,0.675
2025-07-21 09:00:00,0.36
2026-01-22 09:00:00,1.0
